loc_branchid,swiq_location_id
132673,5c1cdf2bbfe5b3890d211535
132893,5c1cdf3010a5aa131fed9f24
"Regal Nails Salon & Spa-119811",5c1edbf9d385a46d1d340c96
"Chamblee #18-119858",5c34437f2cc0082f195a596d
"North Academy #58-119848",5c366eca2c7d877155ae3e7f
"Houston Midtown #46-119391",5c36f3ae2cc0082f195dae9a
133324-97059,5c3d1c985c9fbe8d7f02c2e4
"Gresham #4-119390",5c3dbfa360e540653a8c8d3f
"Minneapolis Uptown #52-119850",5c4294f521ab51930753d211
"Milwaukie #42-119372",5c46c01bd3e739161e98ebd8
"Evansville East #15-119386",5c47d52f3db46cf25565a8b1
"East Mill Plain #27-119857",5c47d52f8ad20f216afc5dac
"4th Plain & Andresen #31-119857",5c47d52f9fa2e43b5ef4ddde
"Bridgeport #3-119855",5c494df7525ca2f20ce6123c
"Orenco #2-119855",5c494df7fc4720806398db6c
"Happy Valley #44-119853",5cd3426363f1af166cd40a2c
"RiNo #24-119859",5cd3426363f1af166cd40a29
133484-120235,5c563145623c53cd0c01b87c
"Simpsonville #59-120033",5cd342634ce18bb1181afbb3
133480-120231,5c5fd393a60e631438d779d5
133614-120231,5c60f4f57c05a5dd737c25f4
"Greenwich Village #55-120251",5cd3426764eb9465024e9574
006528,5c73acd12521e9602ab88ea3
133906-120231,5c7b14b86d404fa015e0bfe3
133907-120231,5c7b157a6d404fa015e0bfe9
133911-118740,5c7c2ab1c8510d843d790381
134090-120902,5c8aa96a653ef12567bce9cf
10002-99229,5c8bf6d60faa4ead639dd683
57060-57527,5c9008a34ac5ed2a1ffcb9f1
133332-120071,5c91981edaa0f09705ddb73d
133415-120171,5c91981edaa0f09705ddb740
133487-120237,5c91a61f8fe0300a7df562c6
133488-120238,5c916dd1651ca0cd04fc12bd
133489-120239,5c917bef389f72157a6833de
133490-120240,5c92088e8fe0300a7df65709
133491-120241,5c91a621ce7a58015fb17b0d
133624-120473,5c92088e651ca0cd04fdb966
133943-120750,5c916a4136d1f9507636c2b9
128956-119158,5c92088fdaa0f09705deabe7
"La Grange #62-120739",5cd34269c038aeed10eaa278
Walnut-120916,5c97f1adfecd677e57620032
134242-120689,5ca23cf83f3714b0505e474b
134243-120902,5ca23e5cabc1bda822826521
111-40426,5ca268ba11eb4e5d2075d069
1-120471,5ca26962a1ba0d2c771a7c74
1-119330,5ca26966a1ba0d2c771a7c77
134260-121065,5ca60fa40b2f1434066b5f12
1-91473,5b53bf9213bf00f328cc520c
05MD-121071,5ca68e33bb67ec1d17294bf7
